term,label,url,product_count,family_count,product_type_count,sample_skus
grit sandpaper tape,Grit Sandpaper Tape,https://packrift.github.io/packaging-vocabulary/terms/grit-sandpaper-tape/,6,1,1,T96960B T96960BY T96580B T96560Y T96780B T961880B
grit tape,Grit Tape,https://packrift.github.io/packaging-vocabulary/terms/grit-tape/,6,1,1,T96960B T96960BY T96580B T96560Y T96780B T961880B
gusseted reclosable food bags,Gusseted Reclosable Food Bags,https://packrift.github.io/packaging-vocabulary/terms/gusseted-reclosable-food-bags/,6,1,1,PB3930 PB4284 PB3934 PB3938 PB4291 PB4287
gusseted reclosable pe bags,Gusseted Reclosable Pe Bags,https://packrift.github.io/packaging-vocabulary/terms/gusseted-reclosable-pe-bags/,6,1,1,PB3930 PB4284 PB3934 PB3938 PB4291 PB4287
gusseted reclosable poly bags,Gusseted Reclosable Poly Bags,https://packrift.github.io/packaging-vocabulary/terms/gusseted-reclosable-poly-bags/,6,1,1,PB3930 PB4284 PB3934 PB3938 PB4291 PB4287
heavy duty plastic tubing,Heavy Duty Plastic Tubing,https://packrift.github.io/packaging-vocabulary/terms/heavy-duty-plastic-tubing/,6,1,1,PT1406 PT1606 PT1006B PT0606B PT1406B PT1606B
heavy duty poly tubing,Heavy Duty Poly Tubing,https://packrift.github.io/packaging-vocabulary/terms/heavy-duty-poly-tubing/,6,1,1,PT1406 PT1606 PT1006B PT0606B PT1406B PT1606B
huge envelopes,Huge Envelopes,https://packrift.github.io/packaging-vocabulary/terms/huge-envelopes/,6,1,1,EN1081 EN1082 EN1084 EN1086 EN1087 EN1088
inspection tags,Inspection Tags,https://packrift.github.io/packaging-vocabulary/terms/inspection-tags/,6,1,1,G20033 G20022 G20013 G21011 G21021 G21013
insulated box liners,Insulated Box Liners,https://packrift.github.io/packaging-vocabulary/terms/insulated-box-liners/,6,1,1,INL1212 INL1186 INL1210 INL141010 INL2418 INL181212
insulated bubble,Insulated Bubble,https://packrift.github.io/packaging-vocabulary/terms/insulated-bubble/,6,1,1,INM1115 INM1217 INM811 INM1517 INM665 INM610
insulated mailers,Insulated Mailers,https://packrift.github.io/packaging-vocabulary/terms/insulated-mailers/,6,1,1,INM1115 INM1217 INM811 INM1517 INM665 INM610
invoice,Invoice,https://packrift.github.io/packaging-vocabulary/terms/invoice/,6,1,1,PL419 PL463 PL27 PL418 PL3 PL481
jumbo envelopes,Jumbo Envelopes,https://packrift.github.io/packaging-vocabulary/terms/jumbo-envelopes/,6,1,1,EN1081 EN1082 EN1084 EN1086 EN1087 EN1088
jumbo kraft envelopes,Jumbo Kraft Envelopes,https://packrift.github.io/packaging-vocabulary/terms/jumbo-kraft-envelopes/,6,1,1,EN1081 EN1082 EN1084 EN1086 EN1087 EN1088
jumbo manila envelopes,Jumbo Manila Envelopes,https://packrift.github.io/packaging-vocabulary/terms/jumbo-manila-envelopes/,6,1,1,EN1081 EN1082 EN1084 EN1086 EN1087 EN1088
kraft jumbo envelopes,Kraft Jumbo Envelopes,https://packrift.github.io/packaging-vocabulary/terms/kraft-jumbo-envelopes/,6,1,1,EN1081 EN1082 EN1084 EN1086 EN1087 EN1088
light resistant black poly bag,Light Resistant Black Poly Bag,https://packrift.github.io/packaging-vocabulary/terms/light-resistant-black-poly-bag/,6,1,1,PT0404B PT0604B PT1804B PT0204B PT1204B PT1404B
machine film,Machine Film,https://packrift.github.io/packaging-vocabulary/terms/machine-film/,6,1,1,MSF20755C MSF2060C MSF30805C MSF2060B MSF2080B MSF20755B
machine wrap,Machine Wrap,https://packrift.github.io/packaging-vocabulary/terms/machine-wrap/,6,1,1,MSF20755C MSF2060C MSF30805C MSF2060B MSF2080B MSF20755B
merchandise bags,Merchandise Bags,https://packrift.github.io/packaging-vocabulary/terms/merchandise-bags/,6,1,1,BGM107K BGM104W BGM112K BGM108K BGM108W BGM110W
merchandise sleeve bag,Merchandise Sleeve Bag,https://packrift.github.io/packaging-vocabulary/terms/merchandise-sleeve-bag/,6,1,1,BGM107K BGM104W BGM112K BGM108K BGM108W BGM110W
multi depth,Multi Depth,https://packrift.github.io/packaging-vocabulary/terms/multi-depth/,6,1,1,MD14106 MD1086 MD161210 MD151210 MD12106 MD121210
multi-depth box,Multi-depth Box,https://packrift.github.io/packaging-vocabulary/terms/multi-depth-box/,6,1,1,MD14106 MD1086 MD161210 MD151210 MD12106 MD121210
no slip floor tape,No Slip Floor Tape,https://packrift.github.io/packaging-vocabulary/terms/no-slip-floor-tape/,6,1,1,T96960B T96960BY T96580B T96560Y T96780B T961880B
no slip tape,No Slip Tape,https://packrift.github.io/packaging-vocabulary/terms/no-slip-tape/,6,1,1,T96960B T96960BY T96580B T96560Y T96780B T961880B
noiseless,Noiseless,https://packrift.github.io/packaging-vocabulary/terms/noiseless/,6,1,1,T905126 T9021226PK T9051226PK T9061266PK T901131 T902126
non-slip floor tape,Non-slip Floor Tape,https://packrift.github.io/packaging-vocabulary/terms/non-slip-floor-tape/,6,1,1,T96960B T96960BY T96580B T96560Y T96780B T961880B
non-slip tape,Non-slip Tape,https://packrift.github.io/packaging-vocabulary/terms/non-slip-tape/,6,1,1,T96960B T96960BY T96580B T96560Y T96780B T961880B
nylon rope,Nylon Rope,https://packrift.github.io/packaging-vocabulary/terms/nylon-rope/,6,1,1,TWR120 TWR122 TWR117 TWR125 TWR127 TWR123
orange tape,Orange Tape,https://packrift.github.io/packaging-vocabulary/terms/orange-tape/,6,1,1,T90122O T934003D T93300312PKD T90222O6PK T90122O18PK T90222O18PK
oversized envelopes,Oversized Envelopes,https://packrift.github.io/packaging-vocabulary/terms/oversized-envelopes/,6,1,1,EN1081 EN1082 EN1084 EN1086 EN1087 EN1088
parcel bins,Parcel Bins,https://packrift.github.io/packaging-vocabulary/terms/parcel-bins/,6,1,1,BINS185 BINS187 BINS184 BINS181 BINS183 BINS180
pastel blue labels,Pastel Blue Labels,https://packrift.github.io/packaging-vocabulary/terms/pastel-blue-labels/,6,1,1,LL178BE LL173BE LL185BE LL172BE LL176BE LL186BE
pink anti-static bags,Pink Anti-static Bags,https://packrift.github.io/packaging-vocabulary/terms/pink-anti-static-bags/,6,1,1,PBAS1270 PBAS1230 PBAS1180 PBAS1290 PBAS1030 PBAS1344
plastic parcel bins,Plastic Parcel Bins,https://packrift.github.io/packaging-vocabulary/terms/plastic-parcel-bins/,6,1,1,BINS185 BINS187 BINS184 BINS181 BINS183 BINS180
polyolefin shrink film,Polyolefin Shrink Film,https://packrift.github.io/packaging-vocabulary/terms/polyolefin-shrink-film/,6,2,1,SH860 SH1060 SH14100 SH16100 SH1860 SH3075
polypropylene strapping,Polypropylene Strapping,https://packrift.github.io/packaging-vocabulary/terms/polypropylene-strapping/,6,1,1,PS1217 PS5820 PSH240 PS1219 PS3227 PSH290
